Headline,label
"Tesla stock surges after EV demand boom",1
"Bank faces fines for fraud allegations",0
"Oil prices stable despite tensions",2
"Apple shares climb after record iPhone sales",1
"Market crashes amid recession fears",0
"Gold prices hold steady in volatile market",2
"Amazon profits soar with cloud growth",1
"Tech stocks plummet after Fed rate hike",0
"Bitcoin hits new high as adoption grows",1
"Retail sector unchanged despite holiday sales",2
"GM recalls vehicles over safety concerns",0
"Microsoft announces major AI partnership",1
"Inflation data sparks mixed market reactions",2
"Energy stocks rally on rising oil demand",1
"Pharma giant sued for patent violations",0
"Wall Street opens flat after jobs report",2
"Toyota boosts production on EV optimism",1
"Airline stocks drop due to fuel cost surge",0
"Real estate market steady as rates stabilize",2
"Chip shortage hits semiconductor stocks",0
"Nvidia stock plummets after weak earnings forecast",0
"Fed signals interest rate cut next month",1
"Gold prices unchanged amid global uncertainty",2
"Microsoft shares rally on cloud revenue growth",1
"Bankruptcy fears hit retail chain stocks",0
"Eurozone GDP growth remains flat this quarter",2
"Tesla unveils new battery tech, boosting shares",1
"Oil prices drop as supply concerns ease",0
"Cryptocurrency market steady after regulatory talks",2
"Apple faces antitrust probe, shares dip",0
"Amazon expands logistics, stock climbs higher",1
"Inflation spikes, rattling bond markets",0
"Tech sector outlook stable despite volatility",2
"Meta invests heavily in metaverse, shares fall",0
"Renewable energy stocks soar on policy support",1
"USD strengthens as trade deficit narrows",1
"Airlines report losses amid rising fuel costs",0
"Semiconductor stocks steady after supply chain fix",2
"Walmart sales surge during holiday season",1
"Real estate market slumps as rates rise",0
"Bitcoin dips below $50K on regulatory fears",0
"Pharma stocks rally after FDA approval news",1
"Market indices flat after mixed earnings reports",2
"Google announces AI breakthrough, stock jumps",1
"Automakers hit by chip shortage delays",0
"Oil demand rises, boosting energy stocks",1
"Bank shares stable despite loan default risks",2
"Tesla rival launches affordable EV, shares drop",0
"Goldman Sachs predicts strong market rebound",1
"Consumer confidence steady despite inflation fears",2
"Intel cuts jobs, stock takes hit",0
"Green energy firms gain on climate deal",1
"Yen weakens as Japan’s exports falter",0
"Retail stocks mixed after earnings season",2
"Apple supplier Foxconn reports profit decline",0
